Gmt time,Open,High,Low,Close,Volume
13.05.2021 19:00:00.000,1.07496,1.07573,1.07479,1.07556,4185040039.0625
13.05.2021 20:00:00.000,1.07556,1.07556,1.07454,1.07506,1687209960.9375
13.05.2021 21:00:00.000,1.07506,1.07590,1.07494,1.07523,840419982.9102
13.05.2021 22:00:00.000,1.07526,1.07557,1.07512,1.07543,687130004.8828
13.05.2021 23:00:00.000,1.07544,1.07581,1.07513,1.07552,1417689941.4063
14.05.2021 00:00:00.000,1.07552,1.07637,1.07528,1.07615,2718840087.8906
14.05.2021 01:00:00.000,1.07615,1.07681,1.07586,1.07623,2709639892.5781
14.05.2021 02:00:00.000,1.07621,1.07669,1.07610,1.07641,1729520019.5313
14.05.2021 03:00:00.000,1.07642,1.07675,1.07600,1.07611,1237069946.2891
14.05.2021 04:00:00.000,1.07611,1.07645,1.07595,1.07625,882859985.3516
14.05.2021 05:00:00.000,1.07626,1.07709,1.07618,1.07702,1473910034.1797
14.05.2021 06:00:00.000,1.07702,1.07705,1.07615,1.07633,4602290039.0625
14.05.2021 07:00:00.000,1.07632,1.07710,1.07608,1.07615,4114680175.7813
14.05.2021 08:00:00.000,1.07615,1.07617,1.07444,1.07446,3975760009.7656
14.05.2021 09:00:00.000,1.07445,1.07494,1.07391,1.07407,3470719970.7031
14.05.2021 10:00:00.000,1.07408,1.07424,1.07340,1.07349,2787830078.125
14.05.2021 11:00:00.000,1.07349,1.07375,1.07247,1.07249,3039439941.4063
14.05.2021 12:00:00.000,1.07248,1.07288,1.07222,1.07261,5815660156.25
14.05.2021 13:00:00.000,1.07260,1.07308,1.07204,1.07302,5371290039.0625
14.05.2021 14:00:00.000,1.07300,1.07356,1.07276,1.07322,5907779785.1563
14.05.2021 15:00:00.000,1.07318,1.07386,1.07291,1.07363,2597870117.1875
14.05.2021 16:00:00.000,1.07362,1.07385,1.07323,1.07363,2548959960.9375
14.05.2021 17:00:00.000,1.07364,1.07381,1.07341,1.07347,1689719970.7031
14.05.2021 18:00:00.000,1.07348,1.07390,1.07345,1.07387,1210459960.9375
14.05.2021 19:00:00.000,1.07387,1.07399,1.07308,1.07322,2369860107.4219
14.05.2021 20:00:00.000,1.07320,1.07360,1.07234,1.07239,1785060058.5938
16.05.2021 21:00:00.000,1.07104,1.07310,1.07104,1.07270,591099975.5859
16.05.2021 22:00:00.000,1.07265,1.07385,1.07259,1.07367,937159973.1445
16.05.2021 23:00:00.000,1.07368,1.07406,1.07359,1.07381,771229980.4688
17.05.2021 00:00:00.000,1.07378,1.07381,1.07295,1.07301,2164120117.1875
17.05.2021 01:00:00.000,1.07301,1.07382,1.07292,1.07374,2376320068.3594
17.05.2021 02:00:00.000,1.07374,1.07408,1.07222,1.07405,2776820068.3594
17.05.2021 03:00:00.000,1.07404,1.07475,1.07386,1.07428,2208770019.5313
17.05.2021 04:00:00.000,1.07428,1.07446,1.07385,1.07430,1598810058.5938
17.05.2021 05:00:00.000,1.07429,1.07441,1.07391,1.07396,2045520019.5313
17.05.2021 06:00:00.000,1.07395,1.07469,1.07380,1.07430,4276910156.25
17.05.2021 07:00:00.000,1.07429,1.07527,1.07416,1.07484,4833810058.5938
17.05.2021 08:00:00.000,1.07482,1.07547,1.07480,1.07523,3023919921.875
17.05.2021 09:00:00.000,1.07521,1.07588,1.07487,1.07584,3560649902.3438
17.05.2021 10:00:00.000,1.07583,1.07610,1.07519,1.07610,3392540039.0625
17.05.2021 11:00:00.000,1.07609,1.07654,1.07584,1.07617,3524260009.7656
17.05.2021 12:00:00.000,1.07615,1.07736,1.07590,1.07721,5009790039.0625
17.05.2021 13:00:00.000,1.07720,1.07761,1.07669,1.07678,4300919921.875
17.05.2021 14:00:00.000,1.07678,1.07787,1.07644,1.07730,6834640136.7188
17.05.2021 15:00:00.000,1.07731,1.07741,1.07633,1.07673,4745680175.7813
17.05.2021 16:00:00.000,1.07675,1.07693,1.07617,1.07623,3173399902.3438
17.05.2021 17:00:00.000,1.07623,1.07652,1.07603,1.07616,2804949951.1719
17.05.2021 18:00:00.000,1.07617,1.07658,1.07604,1.07651,1890060058.5938
17.05.2021 19:00:00.000,1.07652,1.07741,1.07601,1.07663,2568399902.3438
17.05.2021 20:00:00.000,1.07664,1.07689,1.07644,1.07665,1509020019.5313
17.05.2021 21:00:00.000,1.07615,1.07738,1.07597,1.07699,764140014.6484
17.05.2021 22:00:00.000,1.07699,1.07742,1.07690,1.07699,681960021.9727
17.05.2021 23:00:00.000,1.07698,1.07698,1.07661,1.07684,983789978.0273
18.05.2021 00:00:00.000,1.07685,1.07700,1.07636,1.07678,1576689941.4063
18.05.2021 01:00:00.000,1.07678,1.07744,1.07614,1.07622,2892729980.4688
18.05.2021 02:00:00.000,1.07620,1.07673,1.07590,1.07622,1837369995.1172
